Health Center Name,Operated By,Street Address,City,State,ZIP Code,Telephone Number
"Shawnee Health Care, Carbondale",SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORPORATION,801 S Lewis Ln Rm 153,Carbondale,IL,62901-3408,618-956-9690
FENTRESS COUNTY HEALTH DEPT,GOOD SAMARITAN FAMILY HEALTH CENTER INC,1810 E State Road 56  FL 1,Petersburg,IN,47567-8378,812-354-8478
"Shawnee Health Care, Carbondale Dental",GOOD SAMARITAN FAMILY HEALTH CENTER INC,1814 E State Road 56,Petersburg,IN,47567-8378,812-354-8478
"Shawnee Health Care, Same Day",SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORPORATION,400 South Lewis Lane,Carbondale,IL,62901-0000,618-519-9200
"Shawnee Health Care, OB/GYN",TENNESSEE DEPARTMENT OF HEALTH,240 COLONIAL CIRCLE STE A,JAMESTOWN,TN,38556-3924,931-879-9936
Wabash Community Health Center,SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORPORATION,402 S Lewis Ln,Carbondale,IL,62901-3547,618-519-9200
Thomas Elementary School Health Center,SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORPORATION,404 S Lewis Ln,Carbondale,IL,62901-3547,618-519-9200
Family Health Centers of Southern Indiana Harrison,SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORPORATION,101 S Wall St,Carbondale,IL,62901-3021,618-519-9200
SIU Center for Family Medicine - Care-A-Van,WABASH GENERAL HOSPITAL DISTRICT,1123 Chestnut St,Mount Carmel,IL,62863-1212,618-263-4970
SIU Center for Family Medicine-Carbondale,SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORPORATION,1025 N Wall St Rm 102,Carbondale,IL,62901-1737,618-956-9690
Lauderdale County Medical Clinic,FAMILY HEALTH CENTER CLARK COU,290 N HARRISON DR,CORYDON,IN,47112-1725,812-738-7576
BLEDSOE COUNTY PRIMARY CARE CTR.,SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF MEDICINE,300 W Oak St  STE 100,Carbondale,IL,62901-1400,618-536-6621
Salem Healthy Kids Clinic,SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF MEDICINE,300 W Oak St,Carbondale,IL,62901-1413,618-536-6621
"Family Health Care Clinic, Inc., --Decatur","Citizens of Lake County for Health Care, Inc.",317 Cleveland,Ripley,TN,38063-1205,731-221-1804
Albion Community Health Center,OCOEE REGIONAL HEALTH CORP,3625 Main St,Pikeville,TN,37367,423-447-6287
Cape Girardeau Service Site/Administrative Offices,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",1409 S HIGHWAY 76,RUSSELL SPRINGS,KY,42642-9612,270-866-6197
Rea Clinic - Benton,"Family Health Care Clinic, Inc.",1304 13th Ave SE STE A,Decatur,AL,35601-4316,256-340-1251
CROSS TRAILS MEDICAL CENTER,Christopher Greater Area Rural Health Planning Corporation,33 West Main Street,Albion,IL,62806,618-445-2287
"One Cross Community, Inc.",CROSS TRAILS MEDICAL CENTER,2430 Golden,Cape Girardeau,MO,63703,573-339-1196
Lebanon Healthy Kids Clinic,Christopher Greater Area Rural Health Planning Corporation,206 E Church St Ste B,Benton,IL,62812-2239,618-435-9888
Cumberland County Health Department,CROSS TRAILS MEDICAL CENTER,408 S Broadview St,Cape Girardeau,MO,63703-5725,573-332-0808
Lebanon Pediatrics,ONE CROSS COMMUNITY INC,429 W Walnut St,Lebanon,KY,40033-1346,270-789-1010
Benton Mental Health Wellness Center,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",420 W Main St,Lebanon,KY,40033-1363,270-692-3883
Parrish Elementary School Health Center,TENNESSEE DEPARTMENT OF HEALTH,1503 S Main St,Crossville,TN,38555-5967,931-484-6196
SICHC English,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",311 W High St,Lebanon,KY,40033-1427,270-858-6655
Bardstown Elementary Healthy Kids Clinic,Christopher Greater Area Rural Health Planning Corporation,107 East Smith Street  STE B,Benton,IL,62812,833-209-0498
Bardstown High Healthy Kids Clinic,SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORPORATION,121 N Parrish Ln Rm 123,Carbondale,IL,62901-2024,618-956-9690
Bardstown Middle Healthy Kids Clinic,"SOUTHERN INDIANA COMMUNITY HEALTH CARE, INC",307 S. Indiana Ave.,English,IN,47118,812-338-2924
Bardstown Career and Technology Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",1345 Templin Ave,Bardstown,KY,40004-2523,502-331-8801
Bardstown Early Childhood Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",400 N 5th St,Bardstown,KY,40004-1616,502-331-8802
Bardstown Primary Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",410 N 5th St,Bardstown,KY,40004-1616,502-331-8803
Cedar Court Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",420 N 5th St,Bardstown,KY,40004-1616,502-331-8801
Lebanon Middle Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",980 Templin Ave,Bardstown,KY,40004-2508,502-331-8804
"NORTHEAST ALABAMA HEALTH SERVICES, INC. - SKYLINE","CUMBERLAND FAMILY MEDICAL CENTER, INC.",1000 Templin Ave,Bardstown,KY,40004-2568,502-331-8810
SICHC Marengo,COMMUNITY HEALTH & EMERGENCY SERVICES INC,1340 Cedar Court,Carbondale,IL,62901-5334,618-457-7821
Pike County Family Health Center,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",200 Corporate Dr,Lebanon,KY,40033-1708,270-692-3441
Marion County High Healthy Kids Clinic,NORTHEAST ALABAMA HEALTH SERVICES,21680 Al Highway 79,Scottsboro,AL,35768-5904,256-587-3050
Glasscock Healthy Kids Clinic,"SOUTHERN INDIANA COMMUNITY HEALTH CARE, INC",5604 E White Oak Ln,Marengo,IN,47140-8413,812-365-3221
STANTON HEALTH CENTER,GOOD SAMARITAN FAMILY HEALTH CENTER INC,611 East Main Street,Petersburg,IN,47657-1267,812-494-7500
Monticello Medical Pharmacy,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",735 E Main St,Lebanon,KY,40033-1701,270-692-6066
Monticello Medical Associates,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",773 E Main St,Lebanon,KY,40033-1701,270-692-3223
Wayne County Healthy Kids Clinic Annex,HARDEMAN COUNTY COMMUNITY HEALTH CENTER,17 1st St E,Stanton,TN,38069-4426,731-548-2232
Walker Healthy Kids Clinic,"MONTICELLO MEDICAL ASSOCIATES, INC.",1 South Creek Drive STE 122,Monticello,KY,42633,606-348-3365
Wayne County High Healthy Kids Clinic,"MONTICELLO MEDICAL ASSOCIATES, INC.",1 S Creek Dr Ste 102,Monticello,KY,42633-9472,606-348-3365
Promise Community Health Care-Monticello,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",676 Worsham Ln,Monticello,KY,42633-1067,606-348-8484
Wayne County Middle Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",1080 S Main St,Monticello,KY,42633-2762,606-348-4251
Bell Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",2 Kenny Davis Blvd,Monticello,KY,42633-9479,606-348-5575
Park DuValle at Pleasure Ridge Park Health Center,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",1025 S Main St,Monticello,KY,42633-2762,606-340-8870
Monticello Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",95 Champion Dr,Monticello,KY,42633-5364,606-348-6691
Tishomingo Health Care Associates,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",278 Kenny Davis Blvd,Monticello,KY,42633-9479,606-348-8150
Faith Dental of Monticello,PARK DUVALLE COMMUNITY HEALTH CENTER INC,5901 Greenwood Rd,Louisville,KY,40258-2409,502-774-4401 x1720
Christopher Greater Area Rural Health Planning Corporation & Rea Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",160 Cave St,Monticello,KY,42633-1412,606-348-3900
"Community Care Clinic, Inc.",NORTH MS PRIMARY HEALTH CARE INC,1310 Main St,Tishomingo,MS,38873-8410,662-471-7416
WALNUT MEDICAL CENTER,FAITH HEALTHCARE INC,1225 N Main Street,Monticello,KY,42633-1902,606-340-0740
Walnut Dental Center,Christopher Greater Area Rural Health Planning Corporation,4241 HIGHWAY 14 WEST,CHRISTOPHER,IL,62822-0155,618-724-2401
FAMILY HEALTH CENTER - FAIRDALE,FAITH HEALTHCARE INC,126 Franklin Rd,Monticello,KY,42633-2245,606-425-5768
Walnut Imaging Center,NORTH MS PRIMARY HEALTH CARE INC,531 Main St,Walnut,MS,38683-9349,662-223-4011
"Shawnee Health Care, Murphysboro",NORTH MS PRIMARY HEALTH CARE INC,521 Main St,Walnut,MS,38683-9349,662-471-9460
"Family Health Care Clinic, Inc. --Russellville","FAMILY HEALTH CENTERS, INC.",1000 Neighborhood Pl,Fairdale,KY,40118-9697,502-361-2381
Walnut Hill Healthy Kids Clinic,NORTH MS PRIMARY HEALTH CARE INC,71 Mitchell Ave,Walnut,MS,38683,662-471-9461
Fairfield Community Health Center,SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORPORATION,7 S Hospital Dr,Murphysboro,IL,62966-3333,618-519-9200
Washington County Elementary Healthy Kids Clinic,"Family Health Care Clinic, Inc.",318 Coffee Avenue,Russellville,AL,35653-0000,800-508-7481
Washington County Middle Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",2834 S US 127,Liberty,KY,42539-8350,606-787-0045
Washington County High Healthy Kids Clinic,Christopher Greater Area Rural Health Planning Corporation,1007 W Main St,Fairfield,IL,62837-2308,618-842-4470
Family Health Centers - Iroquois High School SBS,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",601 Lincoln Park Rd,Springfield,KY,40069-1501,859-336-5490
The Wellness Center @ Hazelwood Elementary,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",603 Lincoln Park Rd,Springfield,KY,40069-1501,859-336-5483
Family Health Centers - Iroquois Pharmacy and Immediate Care,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",300 W US Highway 150 Byp,Springfield,KY,40069-8460,859-336-5475
FAMILY HEALTH CENTER - IROQUOIS,"FAMILY HEALTH CENTERS, INC.",4615 Taylor Blvd,Louisville,KY,40215-2307,502-774-8631
Liberty Healthy Kids Clinic,SHAWNEE CHRISTIAN HEALTHCARE CENTER INC,1325 Bluegrass Ave,Louisville,KY,40215-1201,502-341-1640
Casey Family Medical Center,"FAMILY HEALTH CENTERS, INC.",4112 Taylor Boulevard,Louisville,KY,40215,502-366-4747
Family Health Center - Americana Annex,"FAMILY HEALTH CENTERS, INC.",4100 Taylor Blvd,Louisville,KY,40215-2342,502-366-4747
FAMILY HEALTH CENTER - AMERICANA,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",75 College St,Liberty,KY,42539-3271,606-787-6961
"Northeast Alabama Health Services, Inc. - Woodville","CUMBERLAND FAMILY MEDICAL CENTER, INC.",428 Hustonville St,Liberty,KY,42539-3140,270-858-6655
Sesser Community Health Center,"FAMILY HEALTH CENTERS, INC.",4803 Southside Dr,Louisville,KY,40214-2111,502-772-8660
The Wellness Center @ Duvalle Education Center,"FAMILY HEALTH CENTERS, INC.",4805 Southside Dr,Louisville,KY,40214,502-774-8631
"Park DuValle Community Health Center, Inc.",NORTHEAST ALABAMA HEALTH SERVICES,13624 County Road 8,Woodville,AL,35776-6162,256-776-5615
Park DuValle Mobile Dentistry Van,Christopher Greater Area Rural Health Planning Corporation,6294 State Highway 154,Sesser,IL,62884,618-625-6679
Casey County Middle Healthy Kids Clinic,SHAWNEE CHRISTIAN HEALTHCARE CENTER INC,3610 Bohne Ave,Louisville,KY,40211-2376,502-485-3558
Casey County High Healthy Kids Clinic,PARK DUVALLE COMMUNITY HEALTH CENTER INC,3015 Wilson Ave,Louisville,KY,40211-1969,502-774-4401
The Wellness Center @ McFerran Elementary,PARK DUVALLE COMMUNITY HEALTH CENTER INC,3015 Wilson Ave,Louisville,KY,40211-1969,502-916-7091
The Wellness Center @ Maupin Elementary,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",1673 E. KY 70,Liberty,KY,42539-6716,606-787-6769
Rea Clinic - Du Quoin,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",1841 E. KY 70,Liberty,KY,42539-6718,606-787-8654
The Wellness Center @ Young Elementary,SHAWNEE CHRISTIAN HEALTHCARE CENTER INC,1900 S 7th St,Louisville,KY,40208-1606,502-485-8297
The Wellness Center @ Shawnee,SHAWNEE CHRISTIAN HEALTHCARE CENTER INC,1312 Catalpa St,Louisville,KY,40211-1731,502-632-1765
Booneville Community Health Center,Christopher Greater Area Rural Health Planning Corporation,1564 S Washington St,Du Quoin,IL,62832-3849,618-542-8702
"Shawnee Christian Healthcare Center, Inc.",SHAWNEE CHRISTIAN HEALTHCARE CENTER INC,3526 W Muhammad Ali Blvd,Louisville,KY,40212-2426,502-485-8354
Shawnee Christian Health Center Mobile,SHAWNEE CHRISTIAN HEALTHCARE CENTER INC,4001 HERMAN ST,LOUISVILLE,KY,40212-2588,502-341-4276
SCHC Dental Clinic,NORTH MS PRIMARY HEALTH CARE INC,208 N    1st St,Booneville,MS,38829-2718,662-728-3313
The Wellness Center @ Perry Elementary,SHAWNEE CHRISTIAN HEALTHCARE CENTER INC,234 Amy Ave.,Louisville,KY,40212-2522,502-778-0001
The Wellness Center @ Byck Elementary,SHAWNEE CHRISTIAN HEALTHCARE CENTER INC,234 Amy Ave,Louisville,KY,40212-2522,502-778-0001
The Russell Neighborhood Health Center,SHAWNEE CHRISTIAN HEALTHCARE CENTER INC,222 Amy Ave,Louisville,KY,40212-2522,502-774-2400
CRHPC Comprehensive Behavioral Health Center,SHAWNEE CHRISTIAN HEALTHCARE CENTER INC,755 Dixie Hwy,Louisville,KY,40210,502-778-0001
Family Health Centers - West Market,SHAWNEE CHRISTIAN HEALTHCARE CENTER INC,2328 Cedar St,Louisville,KY,40212-1625,502-485-8221
The Wellness Center @ Atkinson Elementary,PARK DUVALLE COMMUNITY HEALTH CENTER INC,1425 West Broadway,Louisville,KY,40203-2059,502-584-2992
SICHC West Baden,Christopher Greater Area Rural Health Planning Corporation,119 Gas Plant Rd,Du Quoin,IL,62832-3866,618-790-2146
Floyd Central Student Health Center,"FAMILY HEALTH CENTERS, INC.",2500 W Market St,Louisville,KY,40212-1541,502-778-8400
Park DuValle at Central Health Center,SHAWNEE CHRISTIAN HEALTHCARE CENTER INC,2811 Duncan St,Louisville,KY,40212-1825,502-632-1764
The Wellness Center @ Dawson Orman,"SOUTHERN INDIANA COMMUNITY HEALTH CARE, INC",8163 W State Road 56 Ste A,West Baden Springs,IN,47469-7706,812-723-7125
Southeast Health on Wheels,LIFESPRING INC,6575 Old Vincennes Rd RM E108,Floyds Knobs,IN,47119,812-981-7452
Rhea County Primary Care Center,PARK DUVALLE COMMUNITY HEALTH CENTER INC,1130 W Chestnut St,Louisville,KY,40203-2047,502-774-4401 x1820
"Family Health Centers, Inc. - Wayside Hotel Louisville",SHAWNEE CHRISTIAN HEALTHCARE CENTER INC,900 S Floyd St,Louisville,KY,40203-2331,502-485-7008
Nancy Family Care,SOUTHEAST MISSOURI HEALTH NETWORK,700 N Douglass St,Malden,MO,63863-1510,573-748-2404
Bernie Medical and Dental Center,OCOEE REGIONAL HEALTH CORP,8850 Rhea County Hwy,Dayton,TN,37321-7932,423-775-1160
Mobile Medical Unit - HCH Project,"FAMILY HEALTH CENTERS, INC.",120 W Broadway,Louisville,KY,40202-2110,502-772-8662
"FAMILY HEALTH CENTERS, INC. - FAMILY HEALTH CENTER - PORTLAND",FAITH HEALTHCARE INC,9919 W Highway 80,Nancy,KY,42544-9003,606-288-0019
Metro Mobile Unit,SOUTHEAST MISSOURI HEALTH NETWORK,741 S Walnut St,Bernie,MO,63822-8900,573-293-6836
Family Health Center-East Broadway,"FAMILY HEALTH CENTERS, INC.",2215 Portland Ave,Louisville,KY,40212-1033,502-772-8558
Buechel/Newburg Community Health Center,"FAMILY HEALTH CENTERS, INC.",2215 Portland Ave,Louisville,KY,40212-1033,502-774-8631
Family Health Centers of Southern Indiana Floyd County,LIFESPRING INC,618 E Market St,New Albany,IN,47150-2914,812-280-2080
"NORTHEAST ALABAMA HEALTH SERVICES, INC. - SCOTTSBORO","FAMILY HEALTH CENTERS, INC.",834 East Broadway  FL 1 - 4,LOUISVILLE,KY,40204-1072,502-583-1981
Lincoln High School,PARK DUVALLE COMMUNITY HEALTH CENTER INC,3828 Bardstown Road,Louisville,KY,40218-1527,502-774-4401 x4000
PHOENIX HEALTH CENTER FOR THE HOMELESS,FAMILY HEALTH CENTER CLARK COU,1000 E Spring St,New Albany,IN,47150-2943,812-941-1701
Daviess County Family Health Center,NORTHEAST ALABAMA HEALTH SERVICES,70 Freedom Ln,Scottsboro,AL,35769-3763,256-574-5508
Washington High School,GOOD SAMARITAN FAMILY HEALTH CENTER INC,1545 Hart St  FL 1,Vincennes,IN,47591,812-882-8480
Washington Junior High School,"FAMILY HEALTH CENTERS, INC.",712 E Muhammad Ali Blvd,Louisville,KY,40202-1643,502-568-6972
New Albany Student Health Center,GOOD SAMARITAN FAMILY HEALTH CENTER INC,2007 South State Street,Washington,IN,47501-8505,812-494-7500
New Albany Senior High School,GOOD SAMARITAN FAMILY HEALTH CENTER INC,608 E Walnut St  FL 1,Washington,IN,47501-2812,812-254-3860
Willows Family Health Center,GOOD SAMARITAN FAMILY HEALTH CENTER INC,210 NE 6th St  FL 1,Washington,IN,47501-2808,812-254-2682
Jones Park Healthy Kids Clinic,LIFESPRING INC,1020 Vincennes St,New Albany,IN,47150-3148,812-280-2080
SICHC Paoli,LIFESPRING INC,1020 Vincennes St,New Albany,IN,47150-3148,812-280-6606
Vigo Elementary,GOOD SAMARITAN FAMILY HEALTH CENTER INC,1901 Willow St,Vincennes,IN,47591-4277,812-494-7500
Clark Middle School,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",6295 E Ky 70,Liberty,KY,42539-6762,606-787-1217
LifeSpring Adult Integrated Medical Services,CROSS TRAILS MEDICAL CENTER,106 NORTH OAK STREET,ADVANCE,MO,63730,573-722-3034
LifeSpring Inc.,CROSS TRAILS MEDICAL CENTER,307 Gabriel Street,Advance,MO,63730,573-722-3034
Franklin Elementary,"SOUTHERN INDIANA COMMUNITY HEALTH CARE, INC",420 W Longest St,Paoli,IN,47454-8821,812-723-3944
"Family Health Center of Clark County, Inc. DBA Family Health Centers of Southern Indiana",GOOD SAMARITAN FAMILY HEALTH CENTER INC,1513 Main St  FL 3,Vincennes,IN,47591-6238,812-882-5817
Mobile Dental Unit,GOOD SAMARITAN FAMILY HEALTH CENTER INC,1926 Bauer Dr  RM 412,Vincennes,IN,47591,812-882-5172
"NORTHEAST ALABAMA HEALTH SERVICES, INC. - NORTH SAND MOUNTAIN",LIFESPRING INC,404 Spring St,Jeffersonville,IN,47130-3452,812-280-2080
Healthy Partners,LIFESPRING INC,460 SPRING ST,JEFFERSONVILLE,IN,47130-3452,812-280-2080
Bayou Family Health Center,GOOD SAMARITAN FAMILY HEALTH CENTER INC,2600 Wabash Ave  RM 214,Vincennes,IN,47591-6413,812-882-8176
New Albany Community Medical Services,FAMILY HEALTH CENTER CLARK COU,1319 Duncan Avenue,Jeffersonville,IN,47130-3720,
Riley Elementary,FAMILY HEALTH CENTER CLARK COU,1319 Duncan Ave,Jeffersonville,IN,47130-3759,812-283-2308
Salvation Army Family Shelter Clinic (for women and children),NORTHEAST ALABAMA HEALTH SERVICES,29810 Al Highway 71,Bryant,AL,35958-5240,256-597-4114
Eskenazi Health Center Barton Annex,"EAST ARKANSAS FAMILY HEALTH CENTER, INC.",605 N 2nd St,Blytheville,AR,72315-2034,870-532-6001
Raphael Health Center - Salvation Army,GOOD SAMARITAN FAMILY HEALTH CENTER INC,515 Bayou St,Vincennes,IN,47591-1034,812-494-7500
Aspire Indiana Health - New Acess Point - MACY,LIFESPRING INC,2604 Charlestown Road,New Albany,IN,47150-2529,812-280-2080
Aspire Indiana Health - Progress House,GOOD SAMARITAN FAMILY HEALTH CENTER INC,1008 Upper 11th St  RM 25,Vincennes,IN,47591-3200,812-882-7953
Eskenazi Health Center Pedigo,"Health Net, Inc.",540 N Alabama St,Indianapolis,IN,46204-1536,317-637-5551
Washington Irving School 14 - Urban Act Academy,THE HEALTH & HOSPITAL CORPORATION OF MARION COUNTY,501 N EAST ST,INDIANAPOLIS,IN,46204-1632,317-880-5175
Damien Center - Mosaic,"RAPHAEL HEALTH CENTER, INC.",711 E Washington St,Indianapolis,IN,46202-3915,317-638-6585
Crispus Attucks Clinic,ASPIRE INDIANA HEALTH INC,201 Shelby St,Indianapolis,IN,46202-3943,888-736-6138
The Damien Center,ASPIRE INDIANA HEALTH INC,201 Shelby Street  RM 101 &amp; 103,Indianapolis,IN,46202-3943,887-574-1254
Southeast Health Center,THE HEALTH & HOSPITAL CORPORATION OF MARION COUNTY,1112 Southeastern Ave,Indianapolis,IN,46202-3947,317-880-1900
HealthNet Homeless Initiative Program,SHALOM HEALTH CARE CENTER INC,1250 E Market St,Indianapolis,IN,46202-3831,317-226-4214
Tech Teen Clinic,THE DAMIEN CENTER INC,1420 E Washington St,Indianapolis,IN,46201-3847,317-632-0123
Dayspring Center Clinic,"Health Net, Inc.",1140 Dr Martin Luther King Jr St Rm 615,Indianapolis,IN,46202-2221,317-957-2070
Eskenazi Health Center North Illinois Street,THE DAMIEN CENTER INC,26 N Arsenal Ave,Indianapolis,IN,46201-3808,317-632-0123
Eskenazi Health Center Primary Care,"Health Net, Inc.",901 Shelby St,Indianapolis,IN,46203-1151,317-957-2400
H.L. Harshman Middle School - SBC,"Health Net, Inc.",901 Shelby St.  STE 301,Indianapolis,IN,46203,317-957-2275
William McKinley School 39,"Health Net, Inc.",1500 E Michigan St,Indianapolis,IN,46201-3079,317-693-5420
Eskenazi Health Center College Avenue,"Health Net, Inc.",1537 Central Ave,Indianapolis,IN,46202-2606,317-635-6780
IPS 31 School Base Clinic - James A. Garfield,THE HEALTH & HOSPITAL CORPORATION OF MARION COUNTY,1660 N Illinois St,Indianapolis,IN,46202,317-880-2900
HealthNet Downtown Health Center,THE HEALTH & HOSPITAL CORPORATION OF MARION COUNTY,"720 Eskenazi Avenue, Second Floor",Indianapolis,IN,46202,317-880-7000
Thomas D. Gregg School 15,SHALOM HEALTH CARE CENTER INC,1501 E 10th St,Indianapolis,IN,46201-1909,317-226-4101
"Outreach, Inc. Clinic",SHALOM HEALTH CARE CENTER INC,1733 Spann Ave Rm 404,Indianapolis,IN,46203-1375,317-226-4239
Interfaith Hospitality Network,THE HEALTH & HOSPITAL CORPORATION OF MARION COUNTY,1650 N College Ave Ste B,Indianapolis,IN,46202-1715,317-880-0888
Peoples Health Center,SHALOM HEALTH CARE CENTER INC,307 Lincoln St Ste 100,Indianapolis,IN,46225-1819,317-226-4231
Southwest Health Center,"Health Net, Inc.",1801 Senate Blvd Ste 310,Indianapolis,IN,46202-1196,317-957-2229
George Washington High School - SBC,SHALOM HEALTH CARE CENTER INC,2302 E Michigan St Rm 404,Indianapolis,IN,46201-3112,317-226-4615
IPS School 46 - Daniel Webster,"Health Net, Inc.",2416 E New York St,Indianapolis,IN,46201-3232,317-951-8886
Global Preparatory Academy - Charter School,"Health Net, Inc.",1850 N ARSENAL AVE,INDIANAPOLIS,IN,46218-4237,317-261-1562
Matchbook Learning at No 63,"Health Net, Inc.",2340 E   10th St,Indianapolis,IN,46201-2008,317-957-2200
Wheeler Shelter for Women and Children Clinic,"Health Net, Inc.",1522 W Morris St,Indianapolis,IN,46221-1629,317-957-2500
IPS 54 School Based Clinic - Brookside Academy,SHALOM HEALTH CARE CENTER INC,2215 W Washington St,Indianapolis,IN,46222-4279,317-693-5555
IPS School 34 - Eleanor Skillen,SHALOM HEALTH CARE CENTER INC,1450 S Reisner St Ste 100,Indianapolis,IN,46221-1637,317-226-4246
Eskenazi Health Center Westside,SHALOM HEALTH CARE CENTER INC,2033 Sugar Grove Ave Rm 140,Indianapolis,IN,46202-1134,317-226-4266
Adult and Child Health - Garfield Park,SHALOM HEALTH CARE CENTER INC,1163 N Belmont Ave  RM 100,Indianapolis,IN,46222-3144,317-226-4263
Holy Family Shelter Clinic,"Health Net, Inc.",3208 E Michigan St,Indianapolis,IN,46201-3318,317-687-3630
Eskenazi Health Center Blackburn,SHALOM HEALTH CARE CENTER INC,3150 E 10th St Ste 100,Indianapolis,IN,46201-2404,317-229-4254
Adult and Child at KIPP Indy,SHALOM HEALTH CARE CENTER INC,1404 Wade St Rm 129,Indianapolis,IN,46203-4340,317-226-4876
Martindale Brightwood Health Center,THE HEALTH & HOSPITAL CORPORATION OF MARION COUNTY,2732 W. Michigan St.,Indianapolis,IN,46222-3750,317-554-4600
Barrington Health Center,ADULT & CHILD MENTAL HEALTH CENTER INC,234 E Southern Ave,Indianapolis,IN,46225-2121,317-882-5122
HealthNet Administration/HealthNet Specialty Care at Barrington,"Health Net, Inc.",907 N HOLMES AVE,INDIANAPOLIS,IN,46222-3714,317-923-5750
Ralph Waldo Emerson IPS School 58,THE HEALTH & HOSPITAL CORPORATION OF MARION COUNTY,2700 Mlk Jr St,Indianapolis,IN,46208-5019,317-931-4300
RAPHAEL HEALTH CENTER,ADULT & CHILD MENTAL HEALTH CENTER INC,1740 E 30th St,Indianapolis,IN,46218-2605,877-882-5122
Eskenazi Health Center Herron-Riverside High School,"Health Net, Inc.",2855 N Keystone Ave STE 100,Indianapolis,IN,46218-2790,317-957-2300
IPS Short Ridge High School,"Health Net, Inc.",3401 E Raymond St,Indianapolis,IN,46203-4744,317-957-2100
Path School (67),"Health Net, Inc.",3403 E Raymond St,Indianapolis,IN,46203-4744,317-957-2000
Salvation Army Harbor Light Center Clinic,SHALOM HEALTH CARE CENTER INC,321 N Linwood Ave,Indianapolis,IN,46201-3641,317-226-4258
IPS School 43 - James Whitcomb Riley,"RAPHAEL HEALTH CENTER, INC.",401 E   34th St,Indianapolis,IN,46205-3754,317-926-1507
Jane Pauley Community Health Center at 16th Street,THE HEALTH & HOSPITAL CORPORATION OF MARION COUNTY,3010 N White River Parkway East Dr,Indianapolis,IN,46208-4983,317-880-3535
Northeast Health Center,SHALOM HEALTH CARE CENTER INC,3401 N Meridian Street,Indianapolis,IN,46208-4436,317-226-2810
Adult and Child Health Irvington Location,SHALOM HEALTH CARE CENTER INC,653 N Somerset Ave,Indianapolis,IN,46222-3327,317-226-4267
IPS School 88 - Anna Brochhausen,"Health Net, Inc.",2400 N Tibbs Ave,Indianapolis,IN,46222-2458,317-972-1450
Adult and Child at Center for Inquiry School 70,SHALOM HEALTH CARE CENTER INC,150 W 40th St Rm 336,Indianapolis,IN,46208-3956,317-226-4243
Fisher Elementary School,"Jane Pauley Community Health Center, Inc.",5317 E 16TH ST,INDIANAPOLIS,IN,46218-4897,844-695-7242
FARRINGTON MIDDLE SCHOOL,"Health Net, Inc.",3908 Meadows Dr,Indianapolis,IN,46205-3114,317-957-2150
Jane Pauley Community Health Center at Arlington,ADULT & CHILD MENTAL HEALTH CENTER INC,5839 E Washington St,Indianapolis,IN,46219-6560,317-882-5122
SHALOM PRIMARY CARE CENTER,SHALOM HEALTH CARE CENTER INC,5801 E 16th St Rm 413,Indianapolis,IN,46218-5101,317-229-4288
Shalom Health Care Center PHC Mobile Clinic,ADULT & CHILD MENTAL HEALTH CENTER INC,510 E 46th St,Indianapolis,IN,46205-1817,877-882-5122
Allison Elementary School,SHALOM HEALTH CARE CENTER INC,5151 W   14th St,Indianapolis,IN,46224-6410,317-241-6543
